t1;t2;t3;t4;t5;;;;;;;;;;;;;;
34;41;18;28;30;0,707106781;;;;;;;;;;;;;0,707106781
33;40;18;28;30;0;;;;;;;;;;;;;0
34;40;19;28;30;0;;;;;;;;;;;;;0
34;40;19;28;30;0;;;;;;;;;;;;;0
34;40;18;28;30;0;;;;;;;;;;;;;0
34;41;19;28;31;0;;;;;;;;;;;;;0
34;40;19;28;30;0;;;;;;;;;;;;;0
34;41;19;28;31;0;;;;;;;;;;;;;0
34;40;19;28;30;0;;;;;;;;;;;;;0
33;40;18;28;30;0;;;;;;;;;;;;;0
33;41;19;28;30;0;;;;;;;;;;;;;0
34;41;19;28;31;0;;;;;;;;;;;;;0
34;40;19;28;30;0,707106781;;;;;;;;;;;;;0,707106781
33;40;19;28;30;0,707106781;;;;;;;;;;;;;0,707106781
33;41;19;28;30;0;;;;;;;;;;;;;0
33;40;18;28;30;-0,707106781;;;;;;;;;;;;;-0,707106781
33;40;19;28;30;0;;;;;;;;;;;;;0
33;40;18;28;30;0;;;;;;;;;;;;;0
33;40;18;28;30;0,707106781;;;;;;;;;;;;;0,707106781
33;40;18;28;30;-0,707106781;;;;;;;;;;;;;-0,707106781
33;40;18;28;30;0;;;;;;;;;;;;;0
33;40;19;28;30;0,707106781;;;;;;;;;;;;;0,707106781
33;40;18;28;30;0;;;;;;;;;;;;;0
33;40;18;28;30;0;;;;;;;;;;;;;0
33;41;18;28;30;0;;;;;;;;;;;;;0
33;40;18;28;30;0;;;;;;;;;;;;;0
33;40;19;28;30;0;;;;;;;;;;;;;0
33;40;18;28;30;-0,707106781;;;;;;;;;;;;;-0,707106781
33;40;19;28;30;0;;;;;;;;;;;;;0
33;40;18;28;30;0,707106781;;;;;;;;;;;;;0,707106781
33;40;18;28;30;0;;;;;;;;;;;;;0
33;40;19;27;30;0;;;;;;;;;;;;;0
33;40;19;28;30;0;;;;;;;;;;;;;0
33;40;19;27;30;0;;;;;;;;;;;;;0
33;39;19;28;30;0;;;;;;;;;;;;;0
33;40;19;27;30;0;;;;;;;;;;;;;0
33;40;19;28;30;0;;;;;;;;;;;;;0
33;39;18;27;29;-0,707106781;;;;;;;;;;;;;-0,707106781
33;40;19;28;30;-0,707106781;;;;;;;;;;;;;-0,707106781
33;40;19;28;30;0;;;;;;;;;;;;;0
33;40;19;28;30;-0,707106781;;;;;;;;;;;;;-0,707106781
33;40;19;27;30;0;;;;;;;;;;;;;0
33;40;19;28;30;0;;;;;;;;;;;;;0
33;40;19;28;30;0;;;;;;;;;;;;;0
33;40;19;27;30;0;;;;;;;;;;;;;0
33;40;19;28;30;0;;;;;;;;;;;;;0
33;40;19;27;30;0;;;;;;;;;;;;;0
33;40;19;27;30;0;;;;;;;;;;;;;0
33;40;19;27;30;0;;;;;;;;;;;;;0
33;39;18;28;30;0;;;;;;;;;;;;;0
32;39;19;27;29;0;;;;;;;;;;;;;0
32;39;19;27;29;0;;;;;;;;;;;;;0
32;39;18;27;29;0;;;;;;;;;;;;;0
33;39;19;27;30;0,707106781;;;;;;;;;;;;;0,707106781
33;39;18;27;29;0;;;;;;;;;;;;;0
33;39;19;27;30;0;;;;;;;;;;;;;0
32;39;19;27;29;0;;;;;;;;;;;;;0
32;39;19;27;29;0;;;;;;;;;;;;;0
33;39;19;27;30;0;;;;;;;;;;;;;0
32;39;18;27;29;0;;;;;;;;;;;;;0
32;39;19;27;29;0;;;;;;;;;;;;;0
33;39;18;27;29;-0,707106781;;;;;;;;;;;;;-0,707106781
32;39;19;27;29;-0,707106781;;;;;;;;;;;;;-0,707106781
32;39;18;27;29;0;;;;;;;;;;;;;0
32;39;19;27;29;0,707106781;;;;;;;;;;;;;0,707106781
32;39;18;27;29;0;;;;;;;;;;;;;0
32;39;19;27;29;0;;;;;;;;;;;;;0
32;39;19;27;29;0;;;;;;;;;;;;;0
32;39;19;27;29;0;;;;;;;;;;;;;0
32;38;19;27;29;0;;;;;;;;;;;;;0
32;38;19;27;29;;;;;;;;;;;;;;
32;39;18;27;29;;;;;;;;;;;;;;
32;39;19;27;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
32;38;19;28;29;;;;;;;;;;;;;;
32;38;19;26;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
32;38;18;27;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
31;38;19;27;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
32;38;18;27;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
32;38;18;27;29;;;;;;;;;;;;;;
32;37;19;27;29;;;;;;;;;;;;;;
32;37;19;26;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
32;38;19;27;29;;;;;;;;;;;;;;
31;38;19;27;29;;;;;;;;;;;;;;
32;38;19;26;29;;;;;;;;;;;;;;
31;38;19;27;29;;;;;;;;;;;;;;
32;37;19;26;29;;;;;;;;;;;;;;
31;37;18;26;28;;;;;;;;;;;;;;
31;37;18;26;28;;;;;;;;;;;;;;
31;37;19;27;29;;;;;;;;;;;;;;
31;37;19;27;29;;;;;;;;;;;;;;
31;37;19;27;29;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;38;19;26;29;;;;;;;;;;;;;;
31;38;19;27;29;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;38;19;27;29;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;36;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
30;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;36;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
30;37;20;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;37;19;26;28;;;;;;;;;;;;;;
31;36;19;26;28;;;;;;;;;;;;;;
31;37;20;26;29;;;;;;;;;;;;;;
31;37;20;27;29;;;;;;;;;;;;;;
30;37;19;26;28;;;;;;;;;;;;;;
30;37;19;26;28;;;;;;;;;;;;;;
30;37;19;26;28;;;;;;;;;;;;;;
31;36;20;26;28;;;;;;;;;;;;;;
30;36;19;26;28;;;;;;;;;;;;;;
30;37;20;26;28;;;;;;;;;;;;;;
30;37;19;26;28;;;;;;;;;;;;;;
30;37;20;26;28;;;;;;;;;;;;;;
30;36;19;26;28;;;;;;;;;;;;;;
30;37;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
31;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
29;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;35;21;26;28;;;;;;;;;;;;;;
30;36;21;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
29;36;21;26;28;;;;;;;;;;;;;;
30;36;20;26;28;;;;;;;;;;;;;;
30;35;20;26;28;;;;;;;;;;;;;;
30;35;21;26;28;;;;;;;;;;;;;;
30;35;21;26;28;;;;;;;;;;;;;;
30;35;21;26;28;;;;;;;;;;;;;;
29;35;21;26;28;;;;;;;;;;;;;;
30;35;21;26;28;;;;;;;;;;;;;;
30;35;21;26;28;;;;;;;;;;;;;;
29;35;21;25;28;;;;;;;;;;;;;;
29;35;21;26;28;;;;;;;;;;;;;;
30;35;21;25;28;;;;;;;;;;;;;;
30;35;21;26;28;;;;;;;;;;;;;;
29;35;21;26;28;;;;;;;;;;;;;;
30;35;21;26;28;;;;;;;;;;;;;;
30;35;21;26;28;;;;;;;;;;;;;;
29;35;21;25;28;;;;;;;;;;;;;;
30;35;21;25;28;;;;;;;;;;;;;;
29;35;21;25;28;;;;;;;;;;;;;;
29;35;21;26;28;;;;;;;;;;;;;;
29;34;21;26;28;;;;;;;;;;;;;;
30;35;21;26;28;;;;;;;;;;;;;;
29;35;21;26;28;;;;;;;;;;;;;;
30;35;21;26;28;;;;;;;;;;;;;;
29;34;21;25;27;;;;;;;;;;;;;;
30;35;21;26;28;;;;;;;;;;;;;;
30;35;21;26;28;;;;;;;;;;;;;;
30;35;21;26;28;;;;;;;;;;;;;;
30;35;22;26;28;;;;;;;;;;;;;;
29;35;21;26;28;;;;;;;;;;;;;;
30;35;22;25;28;;;;;;;;;;;;;;
30;35;22;25;28;;;;;;;;;;;;;;
29;35;21;26;28;;;;;;;;;;;;;;
29;35;22;26;28;;;;;;;;;;;;;;
29;34;22;26;28;;;;;;;;;;;;;;
29;34;22;26;28;;;;;;;;;;;;;;
29;35;22;25;28;;;;;;;;;;;;;;
29;35;21;25;28;;;;;;;;;;;;;;
29;34;22;26;28;;;;;;;;;;;;;;
29;34;22;25;28;;;;;;;;;;;;;;
29;35;21;25;28;;;;;;;;;;;;;;
29;34;21;25;27;;;;;;;;;;;;;;
30;34;21;25;28;;;;;;;;;;;;;;
30;34;22;25;28;;;;;;;;;;;;;;
29;34;21;26;28;;;;;;;;;;;;;;
29;34;22;26;28;;;;;;;;;;;;;;
29;34;21;25;27;;;;;;;;;;;;;;
29;34;21;25;27;;;;;;;;;;;;;;
29;34;22;26;28;;;;;;;;;;;;;;
29;34;22;26;28;;;;;;;;;;;;;;
29;34;22;25;28;;;;;;;;;;;;;;
29;34;22;25;28;;;;;;;;;;;;;;
29;34;22;26;28;;;;;;;;;;;;;;
29;34;22;25;28;;;;;;;;;;;;;;
29;34;22;25;28;;;;;;;;;;;;;;
